comment_sentence
"1137 voitures brûlées avec un déploiement de forces sans précédent ! Si les socialistes avaient présenté année après année un tel bilan, on aurait eu droit à une révolution armée. L'UMP aurait lancé ses braves gens à l'assaut des palais de la République comme en 34. Il y aurait eu des manifs de dix millions de participants. Les médias auraient martelé le problème jusqu'à la crise finale, jusqu'à la guerre civile. Heureusement, Notre Bon Président a le génie de faire croire que tout va bien !"
Ce pays est devenu débile .
On observe une fois encore que
les maitres mots de nos
"sociétés ""modernes"" pour ce"
21ème siècle sont : sécurité et
divertissement. Nous sentir
protégés et nous distraire....
À quand une campagne de
distribution générale d'anti-
dépresseurs pour que nous
puissions enfin tous voir la
vie en rose...
"Le titre de l'article pourrait être ""malgré une mobilisation sans précédent des forces de l'ordre il y a eu autant de voitures brûlées que l'année dernière"" expliquant ensuite que ces ""incidents"" sont 2 fois plus nombreux qu'il y a 3 ans et 4 à 5 fois plus qu'il y a 10 ans!!!! S'interrogeant sur l'inefficacité des forces de l'ordre malgré des moyens employés de plus en plus importants.... et la banalisation journalistique du phénomène..."
"Messieurs de la rédaction, votre titre ne vous provoque pas une certaine gêne pour ne pas dire une gêne certaine ?"
Encore un effort en 2010 ! Encore dix véhicules de
moins brûlés le 31 décembre de cette année ? On y
croit ! Et un ministre de l'intérieur qui pourra se
féliciter du résultat...
"Je n'ai rien de radical mais brûler les voitures par pur plaisir est une saloperie d'une racaille heureuse bêtement de priver leurs voisins ou de parfaits inconnus de ce qu'ils possèdent pour aller travailler, amener les enfants à l'école, à leurs activités. Ces saccageurs vivent généralement de nos impôts. Ce parasitisme n'a pas d'avenir. La Chine est très féroce avec ses marginaux de même acabit et sait les calmer. Tant qu'on ne fera pas pareil on sera emm*rdés et on payera. Vive la Chine"
Bonjour le titre malhonnête!
"""Sous haute surveillance policière,"
la nuit du réveillon s'est passée
"dans le calme"" laisse entendre que"
"tout a été calme, alors qu’on"
"compte ""1137 véhicules brulées"
"(sic) pendant la nuit""..."
C’est moi qui doit avoir un
problème puisque Brice Hortefeux à
"même adressé ""ses félicitations"","
tout est calme et normal on vous
dit...
"Il faut retirer 30 à 40% de voitures brulées ""expres"" par leur propriétaire profitant d'une telle occasion de nuit festive, fraude bien connue des assureurs."
Votre titre est mensonger. Votre article devrait être : une nuit du 31 sur les Champs.
"allez donc en grande banlieue, en province et vous verez que le nombre de bagnoles qui ont brulé est le même que l'année passée."
rectification ? quand ?
"Nan mais comment c'est possible,"
"légalement, de MENTIR à ce point ?"
"Ce matin, il s'était rien passé,"
"mais en fait, 1137 véhicules"
brûlés ! Bravo l'UMP ! Le mensonge
institué en projet politique. Nan
"mais si on ment là dessus, vous"
imaginez l'état des comptes
publics français par exemple ?
L'UMP et Sarko sont les fossoyeurs
de la France. SCANDALEUX.
"On va mettre des millions d'euros pour augmenter la répression et placer des caméras de surveillance, mais il en faudrait un nombre incalculable pour avoir un effet quelconque. Si on dépensait cet argent pour des mesures sociales et éducatives, ce serait plus réaliste. La technologie et la répression ne sont qu'un cataplasme sur une gangrène."
je trouve hallucinant que l'on puisse dire que la nuit du réveillon s'est passée dans le calme alors que malgré un dispositif policier renforcé on a pu permettre qu'autant de véhicules aient été détruits. cela devient presque de la routine de voir des jeunes (et sans doute aussi moins jeunes) se défouler en détruisant pour se passer les nerfs! drole de concept de la société! il faut dire qu'ils ont de piètres exemples venant d'en haut et du monde de la finance qui en fait détruit bien plus.
1137 voitures brûlées et c'est un réveillon calme... Le même chiffre il y a 15 ou 20 ans et cela faisait les titres de tous les médias et l'ouverture des journaux télévisés. Les journalistes s'habituent. Les citoyens sans doute beaucoup moins...
"Que le gouvernement ,Hortefeux et même Sarko, tirent gloire de ne pas avoir fait pire que l'an dernier, c'est dans l'ordre deschoses, mais que la presse se prête à ce camouflage, qu'elle banalise des faits qui sont graves en dit long sur la dérive de notre morale. Pensez donc à peine plus d'un millier de voitures incendiées avec un déploiement policier gigantesque Quel succès!la France avance."
Une suggestion pour l'année prochaine qui pourrait faire baisse les statistiques: couvre-feu (si j'ose dire) total.
Bonne année à tous !
"Un bravo pour le Gouvernement ,un progrès de 10"
voitures de sauvé formidable . On nous prends pour
des gourdes !
"Etonnant... 10 voitures de moins, comme par hasard... En même temps, comme bilan d'une politique sécuritaire, on fait mieux."
"titre étrange... calme ? 1137 voitures brûlées, et ce selon les statistiques officielles. alors que l'on sait que ces statistiques ne sont pas fiables. mais à quelle source Le Monde boit-il ses informations ? est-on chez TF1 ?"
"NORMAL ! Avec les primes à la casse , plus moyen de trouver des vieilles ""caisses"" ..."
ça rendait pourtant service à beaucoup de monde !
"Quelle victoire: 10 voitures de moins qui ont brûlé, 10 000 policiers de plus sur les dents. Superbe ratio! C'est Seguin qui va faire les comptes dans la joie!"
"Statistiques gouvernementales, quels sont les chiffres réels. Voilà le bilan de Sarkozy pour la délinquance.Quelle est la situation économique de la France, une catastrophe! mais N.S est satisfait de son bilan. Le chaos que nous connaissons est la conséquence des choix idéologiques économique du président et de bien d'autres du gouvernement souvenez des théses de FILLON pour détruire notre systéme de retraite."
"""La nuit du réveillon s'est passée dans le calme"". Pensez donc! 1137 véhicules incendiés: une broutille !! Un nombre supplémentaire à ""tomber"" dans le domaine du ""banal"",du coutumier - pour ne pas employer quand même le mot normal!! - comme le nombre de chômeurs, de sans-abri, de tués dans des accidents de la route ... Des nombres auxquels il nous est visiblement demandé de s'habituer ..."
Nuit plus calme? Mais alors pourquoi cette mauvaise odeur de voitures brûlées dans nos villes? Cela fait-il parti du sarkoshow depuis octobre 2005? Sous quel prisme les medias français observent-ils la société française? Depuis le perron de l'Elysée? Depuis le bar du Fouquet's?
Heureusement que cela vient plus de douze heures après la déclaration béate du ministère de l'Intérieur. Hortefeux a décidément un sens de l'humour qui me réjouit la bedaine!
"Hortefeux, il n'y a pas de quoi Etre fier de votre campagne"
"anti-délinquance 2009,kif,kif"
que 2008 pour les voitures brûlées
surtout pas pavoiser de vos
"résultats plus que médiocres, malgré"
les slogans et les effectifs renforcés de la Police Nationale
"..Municipale ..Gendarmerie, au des chiffres cités, 1137 véhicules brûlés, vous devriez faire acte de pénitence, vos belles sorties ,voix forte, vous collent à la peau, il faudrait être"
"un peu moins éloquent, et un peu"
plus performant pour 2010!!!
"1137 voitures brûlées ne représentent finalement que + 29,4% par rapport aux chiffres d'il y a 2 ans, si le bilan est complet"
1137 voitures brûlées au lieu de 1147 l'an dernier. Il y a bien de quoi pavoiser et les journalistes du Monde pourraient peut-être mettre à jour leurs articles!
"""Moins d'une dizaine à Nantes""... ""Pas plus qu'un"
"week-end ordinaire""..."
Ce n'est pas le nombre de voiture brûlées qui
inquiète. C'est le fait qu'on trouve cela normal tant
que ça n'atteint pas la centaine.
Pauvre société!
pas trop familial quend même !!!
tout sarkozy est là: un policier derrière chaque citoyen. Comme çà. pour montrer se force et se draper dans le rôle de superman..
"Bienvenu à l'Etat policier. Comme aux USA, on a laissé"
dégénérer les conditions sociales d'une partie de la
"population, on s'en est ""rendu compte"" trop tard mais"
on ne corrige guère le coup. On accuse à tort et à
"travers et comme à gauche on n'a pas de solution, à"
droite on fait ce qu'on sait faire le mieux (manque de
"créativité): répression, répression. C'est cosmétique"
"car ça éloigne les symptômes, la maladie perdure."
"Mais certains aiment la chirurgie cosmétique, cachez"
ce qu'on ne veut voir.
